"SiteID","n.traps","Total.seeds","seeds.m2","deliv.freq","Total.seeds.pico","seeds.m2.pico","deliv.freq.pico","Total.seeds.psme","seeds.m2.psme","deliv.freq.psme","Total.seeds.pien","seeds.m2.pien","deliv.freq.pien","Total.seeds.abla","seeds.m2.abla","deliv.freq.abla","farthest.seed","farthest.pico","Species","Mean.stemarea.m2","Mean.Height.m","total.density.ha","Mean.stemarea.m2ha","mean.cones.ha","mean.nonser.cones.ha","Positioning","X20m.tree.dist","X50m.tree.dist","X100m.tree.dist","n.pico","Mean.stemarea.m2.pico","Mean.Height.m.pico","Mean.cones.pico","density.ha.pico","Mean.stemarea.m2ha.pico","mean.cones.ha.pico","mean.nonser.cones.ha.pico"
"B1",2,4,1.2025012025012,1,4,1.2025012025012,1,0,0,0,0,0,0,0,0,0,NA,NA,"All",0.0361391877,11.432,800,28.91135016,26684.8,24550.016,NA,NA,NA,NA,25,0.0361391877,11.432,33.356,800,28.91135016,26684.8,24550.016
"B2",1,24,6.61375661375661,1,23,6.33818342151675,1,0,0,0,0,0,0,1,0.275573192239859,1,NA,NA,"All",0.024160993765,11.304,1800,43.489788777,61934.4,61934.4,NA,NA,NA,NA,25,0.024160993765,11.304,34.408,1800,43.489788777,61934.4,61934.4
"B3",1,85,23.423721340388,1,84,23.1481481481481,1,0,0,0,0,0,0,1,0.275573192239859,1,NA,NA,"All",0.031503810205,20.176,2000,63.00762041,126008,126008,NA,NA,NA,NA,25,0.031503810205,20.176,63.004,2000,63.00762041,126008,126008
"B4",2,73,20.1168430335097,1,73,20.1168430335097,1,0,0,0,0,0,0,0,0,0,NA,NA,"All",0.04028150677,18.768,900,36.253356093,107126.25,102841.2,NA,NA,NA,NA,25,0.04028150677,18.768,119.029166666667,900,36.253356093,107126.25,102841.2
"B5",2,68,19.5537152058891,1,68,19.5537152058891,1,0,0,0,0,0,0,0,0,0,NA,NA,"All",0.041606748545,21.4,1100,45.7674233995,78025.2,74904.192,NA,NA,NA,NA,25,0.041606748545,21.4,70.932,1100,45.7674233995,78025.2,74904.192
"B6",1,104,28.6596119929453,1,99,27.281746031746,1,0,0,0,4,1.10229276895944,1,1,0.275573192239859,1,NA,NA,"All",0.04166232168,15.656,1400,58.327250352,56324.8,54071.808,NA,NA,NA,NA,19,0.0429892780526316,15.5842105263158,46.2315789473684,800,34.3914224421053,36985.2631578947,35038.6703601108
"T1",24,3,0.826719576719577,1,3,0.826719576719577,1,0,0,0,0,0,0,0,0,0,50,50,"All",0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609
"T10",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"All",0.029610176835,11,1000,29.610176835,42336,42336,"Downslope","160.4",98.7,116.5,25,0.029610176835,11,42.336,1000,29.610176835,42336,42336
"T11",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"All",0.031849877845,11.228,1200,38.219853414,35659.2,32806.464,"Upslope","594",372,509,25,0.031849877845,11.228,29.716,1200,38.219853414,35659.2,32806.464
"T12",24,3,0.826719576719577,1,3,0.826719576719577,1,0,0,0,0,0,0,0,0,0,20,20,"All",0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957
"T2",23,11,3.16310098918795,1,6,1.72532781228433,1,5,1.43777317690361,1,0,0,0,0,0,0,100,100,"All",0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672
"T3",19,2,0.696184906711223,1,2,0.696184906711223,1,0,0,0,0,0,0,0,0,0,20,20,"All",0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752
"T4",24,5,1.37786596119929,1,5,1.37786596119929,1,0,0,0,0,0,0,0,0,0,50,50,"All",0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111
"T5",19,3,1.04427736006683,1,3,1.04427736006683,1,0,0,0,0,0,0,0,0,0,50,50,"All",0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478
"T6",24,8,2.20458553791887,1,7,1.92901234567901,1,0,0,0,1,0.275573192239859,1,0,0,0,100,100,"All",0.05420055082,22.236,800,43.360440656,79366.4,69842.432,"Upslope","174",103.5,241,24,0.0557226180416667,22.6375,102.091666666667,800,44.5780944333334,81673.3333333336,71464.1666666669
"T7",22,9,2.70562770562771,1,9,2.70562770562771,1,0,0,0,0,0,0,0,0,0,50,50,"All",0.04283322156,22.24,1300,55.683188028,140800.4,140800.4,"Downslope","141.4",133.1,133.2,25,0.04283322156,22.24,108.308,1300,55.683188028,140800.4,140800.4
"T8",24,2,0.551146384479718,1,2,0.551146384479718,1,0,0,0,0,0,0,0,0,0,20,20,"All",0.050066368235,20.668,800,40.053094588,93830.4,82570.752,"Downslope","60.2",NA,NA,25,0.050066368235,20.668,117.288,800,40.053094588,93830.4,82570.752
"T9",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"All",0.02403806687,10.9008,1800,43.268520366,56764.8,54494.208,"Downslope","beyond rangefinder",560,127.2,25,0.02403806687,10.9008,31.536,1800,43.268520366,56764.8,54494.208
